,state,n_restaurants,n_taco_restaurants,n_burrito_restaurants,taco_ratio,burrito_ratio,meat_ratio,seafood_ratio,vegetarian_ratio,breakfast_ratio,other_ratio,taco_meat_ratio,taco_seafood_ratio,taco_vegetarian_ratio,taco_breakfast_ratio,taco_other_ratio,burrito_meat_ratio,burrito_seafood_ratio,burrito_vegetarian_ratio,burrito_breakfast_ratio,burrito_other_ratio
0,NE,92,52,64,0.4367420019593932,0.5632579980406066,0.43271384412688757,0.1359531772575251,0.008152173913043478,0.18478260869565216,0.2383981960068917,0.3621680402930403,0.2516025641025641,0.0,0.0,0.3862293956043956,0.460176282051282,0.01953125,0.01953125,0.296875,0.20388621794871795
1,WY,40,17,33,0.30513538748832864,0.6948646125116714,0.540543839330604,0.03865007541478129,0.0011904761904761904,0.15428571428571428,0.2653298947784242,0.3819401187048245,0.11460598225304108,0.0,0.058823529411764705,0.4446303696303696,0.6197691197691197,0.0,0.0030303030303030303,0.17402597402597403,0.20317460317460317
2,LA,177,78,133,0.35536044983005816,0.6446395501699418,0.5923418130022458,0.07374729060146944,0.007062146892655367,0.17556069166238666,0.15128805784124305,0.5495857943226365,0.19682758761706132,0.0,0.01282051282051282,0.24076610523978942,0.6081453634085214,0.0,0.011278195488721802,0.23208020050125325,0.14849624060150374
3,NM,193,119,160,0.42031508987244204,0.5796849101275576,0.46477354294935147,0.1037003577025017,0.013646831004343957,0.12123941113578421,0.2966398572080188,0.3849077036546142,0.23881457560399721,0.0024509803921568627,0.0063025210084033615,0.3675242193408284,0.4694568452380953,0.002926587301587301,0.018834325396825398,0.16003472222222223,0.34874751984126984
4,WI,262,147,193,0.4213775992879045,0.5786224007120954,0.53257636534747,0.07323387272309588,0.00900581606688477,0.07318889387816195,0.3119950519843875,0.32975220169097724,0.166118159995711,0.006802721088435374,0.0,0.49732691722487665,0.6482642860881203,0.013360473723168021,0.013290940493013033,0.11614853195164077,0.20893576774405798
5,CT,175,107,129,0.4452346225203368,0.5547653774796635,0.408013653013653,0.14339322582179725,0.04289795918367347,0.07161904761904761,0.3340761143618287,0.34413763806287173,0.2717643726989521,0.011682242990654205,0.0,0.372415746247522,0.4531653746770026,0.025968992248062015,0.0615848406546081,0.11627906976744186,0.3430017226528855
6,DE,41,27,33,0.47972319008904374,0.5202768099109563,0.6032713898567557,0.14508323654665117,0.003484320557491289,0.054297328687572595,0.19386372435152924,0.5507002801120449,0.25910364145658266,0.0,0.0,0.19019607843137257,0.5840548340548342,0.008658008658008658,0.004329004329004329,0.10858585858585858,0.2943722943722944
7,US,144,88,108,0.44996259083675505,0.550037409163245,0.4360698748120508,0.21178894486399982,0.011793767879294195,0.09363425925925925,0.24671315318539597,0.3150629673356946,0.38007428177882724,0.006714876033057851,0.025,0.27314787485242037,0.5297939714606381,0.04720117845117845,0.021524771524771523,0.14127384960718295,0.2602062289562289
8,IL,846,555,599,0.4934230881112348,0.5065769118887652,0.44548680681774266,0.09544863218900214,0.02110046582242193,0.10320226135828973,0.33476183381254365,0.3735257235257235,0.16907970907970907,0.009109824109824109,0.009084084084084083,0.4392006592006592,0.5134415806786424,0.002921535893155259,0.037582376814430225,0.16613005803322997,0.279924448580542
9,CO,476,278,388,0.3997824479442126,0.6002175520557874,0.45003183091418375,0.10966251302385756,0.01721552257266543,0.16418825105799903,0.25890188243129436,0.3634622072571713,0.2561427281751023,0.01025179856115108,0.032733812949640284,0.33740945305693515,0.5168796023564064,0.0013788659793814433,0.018393470790378005,0.23311426116838488,0.23023379970544922
10,CA,4981,3662,3759,0.5072789763241673,0.49272102367583276,0.4716105617768624,0.1408498900138338,0.02183818404660487,0.07490947113086029,0.2907918930318372,0.4370535465246084,0.25819067697186654,0.010146432071444712,0.006025555547674609,0.2885837888844085,0.4625373340351082,0.03513894820878804,0.03746076437866303,0.12980686302764086,0.3350560903498004
11,ME,59,26,43,0.3580492953374309,0.6419507046625691,0.4228844601725958,0.09824920841869994,0.01694915254237288,0.14689265536723162,0.31502452349909976,0.15737179487179484,0.24038461538461536,0.0,0.01282051282051282,0.5894230769230769,0.5562015503875969,0.0,0.023255813953488372,0.19767441860465115,0.22286821705426355
12,OH,408,197,282,0.4043559959920253,0.5956440040079746,0.49868740328299144,0.1544164305193717,0.03398501008795128,0.03845811051693404,0.27445304559275163,0.35638908468857705,0.3306619353573668,0.0029995385325334565,0.005076142131979695,0.304873299289543,0.5942629179331307,0.015957446808510637,0.0479018912529551,0.0627659574468085,0.27911178655859514
13,KY,148,59,120,0.3132638214875057,0.6867361785124946,0.5566360915045124,0.16045709664130714,0.02510993135993136,0.075,0.18279688049424894,0.3000036216137911,0.4507750253512965,0.00423728813559322,0.0,0.24498406489931907,0.6461111111111112,0.01111111111111111,0.0375,0.0925,0.2127777777777778
14,TN,289,132,210,0.3786471602215546,0.6213528397784454,0.544323548423895,0.15621200214625816,0.012478716976986874,0.135928489042676,0.1510572434101846,0.3867492566356203,0.3732177754905027,0.004250841750841751,0.0,0.23578212612303517,0.6294774273345707,0.0091156462585034,0.02015873015873016,0.20380952380952397,0.13743867243867242
15,TX,1714,1230,945,0.6132695044982645,0.3867304955017352,0.5916269636867674,0.11373391791958012,0.006432013714558992,0.0640300834031039,0.2241770212759879,0.5236450228478093,0.1784168641682989,0.005561759830052513,0.027660963697549064,0.26471538945629,0.6442891690907558,0.006266023805706345,0.010647079258190372,0.09869488536155199,0.24010284248379485
16,NV,301,213,214,0.5109077440210504,0.4890922559789495,0.507314390161916,0.127476319507269,0.017035159377352067,0.09822113102844,0.24995299992502298,0.4578395000930214,0.24688437540550223,0.005594679186228482,0.004694835680751174,0.284986609634497,0.5122607921673342,0.016666666666666666,0.03657098353360035,0.17076101468624835,0.26374054294615035
17,MT,55,33,34,0.5023251748251748,0.49767482517482514,0.5197435897435898,0.14226689976689977,0.01818181818181818,0.13272727272727275,0.18708041958041957,0.3673717696444969,0.3042962088416635,0.0,0.0,0.3283320215138397,0.6519607843137255,0.00980392156862745,0.029411764705882353,0.2450980392156863,0.06372549019607843
18,FL,892,578,593,0.5208958404130609,0.47910415958693925,0.4802261269454928,0.25274064509061905,0.015101079787178442,0.0676983237241085,0.1842338244526019,0.33533769981968625,0.4273677396285785,0.003489042675893887,0.005622837370242215,0.2281826805055993,0.6202828088156926,0.031379988757729065,0.02366029604646805,0.12299044406970211,0.20168646231040835
19,HI,76,48,44,0.5395989974937343,0.4604010025062657,0.42390350877192984,0.14544172932330826,0.02951127819548872,0.0800438596491228,0.3210996240601503,0.40198412698412705,0.2674355158730159,0.023809523809523808,0.010416666666666666,0.29635416666666664,0.41098484848484856,0.017045454545454544,0.026515151515151516,0.17045454545454544,0.375
20,MI,468,292,303,0.4972979364429214,0.5027020635570786,0.4972280868397009,0.12911572517058945,0.012165149665149665,0.05151191401191402,0.30997912431264624,0.37886175848504605,0.2420327579574155,0.0028538812785388126,0.0,0.3762516022789996,0.5943894389438944,0.003575357535753575,0.024532453245324538,0.09330766409974331,0.2841950861752842
21,SC,196,117,124,0.5008160773466895,0.4991839226533104,0.5259856781540454,0.19224321596770577,0.006037414965986395,0.06258503401360543,0.21314865689865695,0.3602767602767603,0.33610093610093605,0.0,0.0,0.3036223036223036,0.590937019969278,0.024884792626728113,0.012096774193548387,0.14758064516129032,0.2245007680491551
22,VT,17,10,13,0.4421864899806076,0.5578135100193924,0.45631329454858865,0.16713800904977374,0.0,0.23529411764705882,0.14125457875457875,0.4661363636363636,0.35227272727272724,0.0,0.0,0.18159090909090908,0.4743589743589744,0.0,0.0,0.38461538461538464,0.14102564102564102
23,ID,100,65,66,0.5032601426351426,0.4967398573648574,0.5260235875235876,0.09881456043956043,0.0052895437895437904,0.12999999999999998,0.23987230824730824,0.46861663977048595,0.17902815133584363,0.0,0.0038461538461538464,0.34850905504751667,0.5508515894879531,0.007575757575757576,0.01268748086929905,0.20454545454545453,0.22433971752153573
24,AZ,610,414,408,0.5318621508048107,0.4681378491951892,0.5947132686294047,0.100042341291158,0.00966356083747995,0.07471164601280518,0.22086918322915267,0.555218731747743,0.19175290808567325,0.007443652132820707,0.007246376811594203,0.23833833122216866,0.5737182021469106,0.015336388178459791,0.015050951759711351,0.14427812791783384,0.2516163299970844
25,KS,161,88,111,0.43611286042916414,0.5638871395708359,0.4184194363720014,0.2003720074808547,0.0009590792838874681,0.18737799467613142,0.19287148218712521,0.3104769283746556,0.3666937229437229,0.0,0.002840909090909091,0.31998843959071227,0.5185757185757185,0.010296010296010296,0.0024453024453024454,0.2813813813813815,0.18730158730158727
26,MA,429,267,305,0.4788700086725592,0.5211299913274409,0.4904542946655247,0.14710960041071114,0.01605183537001719,0.10053835053835056,0.2458459190153967,0.39849132868795784,0.28565388003590253,0.004938902129913366,0.01462457642232923,0.296291312723897,0.5565199918478607,0.009275355791749236,0.027181807263774477,0.16333333333333333,0.24368951176328224
27,RI,62,48,45,0.5186811795419789,0.4813188204580211,0.3889124355463766,0.12669539144819653,0.02236024844720497,0.039132104454685096,0.4228998201035368,0.27034892191142196,0.18444784382284382,0.001388888888888889,0.010416666666666666,0.5333976787101787,0.4407407407407407,0.014814814814814814,0.03777777777777777,0.07111111111111112,0.43555555555555553
28,VA,379,209,280,0.42520594375733745,0.5747940562426626,0.5107963451917793,0.17638610656420683,0.012896682619637764,0.08595300917200653,0.2139678564523696,0.33765142353659094,0.34641682081873476,0.011164274322169059,0.00786056049213944,0.29690692083036585,0.6109240362811792,0.01929563492063492,0.01754393424036281,0.13531462585034015,0.216921768707483
29,SD,29,14,23,0.3545669129720854,0.6454330870279147,0.26607142857142857,0.09469417077175697,0.007974137931034483,0.4049261083743842,0.22633415435139573,0.30238095238095236,0.25476190476190474,0.0,0.0,0.4428571428571428,0.3064836003051106,0.006864988558352402,0.016781083142639205,0.5260869565217391,0.14378337147215867
30,MS,76,27,62,0.29066355793329474,0.7093364420667052,0.610668498168498,0.07869854925775978,0.0,0.22236842105263155,0.08826453152111047,0.510297418630752,0.26133557800224466,0.0,0.0,0.22836700336700336,0.6596774193548386,0.0,0.0,0.2725806451612903,0.06774193548387099
31,WV,49,25,33,0.44214883755700074,0.5578511624429993,0.580838379307767,0.2681841967556253,0.006802721088435374,0.061224489795918366,0.08295021305225388,0.29533333333333334,0.5533333333333332,0.013333333333333332,0.0,0.138,0.792929292929293,0.0,0.0,0.09090909090909091,0.11616161616161617
32,GA,434,244,330,0.41258421044335564,0.5874157895566442,0.5267500917414387,0.1488658117706794,0.028353471812724785,0.06779953917050693,0.22823108550465085,0.37298006494512104,0.31135084836551624,0.004918032786885246,0.0,0.31075105390247754,0.6127538707084162,0.010798898071625344,0.04587425201061566,0.0986868686868687,0.23188611052247424
33,MO,300,128,214,0.3729530654530656,0.6270469345469345,0.5520609853109854,0.08571237096237096,0.0019444444444444442,0.2053333333333334,0.15494886594886598,0.5164893700049951,0.22952511897824396,0.0,0.0,0.25398551101676103,0.5605706598697254,0.0005841121495327102,0.005451713395638629,0.29439252336448607,0.13900099122061738
34,OK,209,104,151,0.41319683771836885,0.5868031622816311,0.5182970936559456,0.17070037883435013,0.0068805463542305646,0.1599681020733653,0.14415387908210875,0.3704128937302015,0.37260997549459085,0.011538461538461537,0.004807692307692308,0.24063097692905383,0.627740986019132,0.004874908020603385,0.008130978660779985,0.22582781456953652,0.13342531272994848
35,NH,89,52,61,0.46906251840984153,0.5309374815901584,0.47917964098152477,0.164540624182065,0.034130131453330395,0.08426966292134831,0.23787994046173158,0.3527264402264402,0.3359015984015984,0.019642857142857142,0.0,0.29172910422910425,0.5889176493145433,0.002866455756878535,0.04302559677883233,0.13114754098360656,0.23404275716613943
36,WA,422,318,231,0.6128112835702741,0.38718871642972563,0.4821230028244941,0.10248663831393133,0.019157492498724726,0.07121402820454951,0.3250188381583002,0.4217624269511062,0.16761390251956293,0.013814016172506736,0.006027253668763102,0.39078240068806097,0.49997810418933436,0.025842779719785065,0.02930980932317831,0.170054440508986,0.2748148662587165
37,NC,430,233,307,0.42776014729757467,0.5722398527024253,0.550114071007506,0.14171992615777704,0.011960063237128192,0.09077519379844964,0.20543074579913942,0.39377238164791806,0.28962917745106587,0.005722460658082976,0.008369098712446352,0.30250688153048677,0.6368865210070423,0.01390831390831391,0.017719576840098013,0.13127035830618897,0.20021522993835697
38,AK,7,6,4,0.7557675244010648,0.24423247559893518,0.5249556344276841,0.017857142857142856,0.017857142857142856,0.0,0.43933007985803013,0.4687134502923977,0.027777777777777776,0.027777777777777776,0.0,0.4757309941520467,0.5416666666666667,0.0,0.0,0.0,0.45833333333333337
39,ND,17,13,10,0.5990196078431372,0.40098039215686276,0.4882352941176471,0.047058823529411764,0.0,0.058823529411764705,0.40588235294117647,0.46282051282051273,0.06666666666666667,0.0,0.0,0.4705128205128205,0.53,0.0,0.0,0.1,0.37
40,MD,271,134,203,0.3906597195342582,0.6093402804657417,0.5463626471929056,0.1716717579263705,0.009354657232886017,0.0838560885608856,0.1887548490869525,0.34816545394903586,0.3729997821415732,0.012389973210868733,0.0009328358208955224,0.26551195487762647,0.6530029357615567,0.023137781758471414,0.008585858585858586,0.1200328407224959,0.19524058317161763
41,MN,261,171,172,0.5222676970428096,0.4777323029571903,0.44131025655263545,0.1343911835291145,0.008626110225310625,0.1283272283272283,0.2873452213657112,0.3552696815854711,0.2596009903027448,0.005847953216374269,0.009988776655443324,0.36929259823996663,0.4656221685291454,0.014622973925299506,0.011395097150911101,0.26918604651162786,0.23917371388301617
42,DC,99,63,69,0.49845314618041875,0.5015468538195812,0.3962850000728789,0.1548566472808897,0.01883554156281429,0.15907560453015,0.2709472065532672,0.3579891889415699,0.32289848599372406,0.015740740740740743,0.026455026455026454,0.2769165578689388,0.41344605475040264,0.018115942028985508,0.041062801932367145,0.2717391304347826,0.2556360708534622
43,UT,144,84,122,0.3852966262914935,0.6147033737085065,0.47964337323863293,0.09576732940636927,0.01781676539375815,0.08249007936507936,0.32428245259616023,0.36724601456744316,0.22944549663299665,0.0033895502645502644,0.0,0.3999189385350099,0.539766800475995,0.011480500967314938,0.03632437294233446,0.11251484913281064,0.2999134764815448
44,NY,855,560,590,0.49352583464011546,0.5064741653598844,0.4536730156837068,0.15788955616646297,0.027271574373200404,0.06280184651213404,0.2983640072644959,0.3575276232604625,0.25841408013494244,0.02428563499992071,0.008127125850340136,0.3516455357543342,0.5286939478489825,0.043209945864482235,0.03276361115344166,0.11044396115682259,0.2848885339762707
45,AL,158,61,128,0.31134114706341065,0.6886588529365896,0.5540491262894467,0.19280883755939598,0.0033052039381153307,0.14008438818565405,0.10975244402738818,0.27181238615664843,0.5703226645849596,0.008561020036429874,0.0,0.149303929221962,0.6506231398809526,0.005022321428571428,0.0,0.17291666666666672,0.1714378720238095
46,IN,305,159,201,0.44422231229608283,0.5557776877039173,0.4389731579895515,0.22827103224644205,0.01072269260793851,0.09256830601092897,0.22946481114513903,0.2389822441709234,0.4414415772906339,0.0017969451931716081,0.0,0.31777923334527114,0.6221541104003792,0.015636105188343994,0.020424662402274342,0.14502487562189056,0.19676024638711204
47,OR,353,248,223,0.5443737273164972,0.4556262726835026,0.5146682482322739,0.09349686937527371,0.020507613758122732,0.1072542538683689,0.26407301476596096,0.47173325106792857,0.17688486468728407,0.018350265326071775,0.00439882697947214,0.32863279193924355,0.5200797408812207,0.006141922873793249,0.03154472988504964,0.19705850950245568,0.24517509685748076
48,NJ,357,237,233,0.5264272965459323,0.4735727034540677,0.42102345394485774,0.19676115727153795,0.020789942536729486,0.07247103969793046,0.2889544065489444,0.28113968676709455,0.32501797108291336,0.012971487022119931,0.007383966244725738,0.37348688888314624,0.5607021635549786,0.032812982131336085,0.030885859350893434,0.13236766809728184,0.24323132686551008
49,PA,451,293,253,0.5565865251873467,0.44341347481265325,0.4837106852106202,0.1760837236398082,0.013438517918757907,0.06740245248136209,0.2593646207494519,0.3248482559288621,0.3143908351346619,0.013952666597717794,0.007679180887372013,0.3391290614513864,0.6603786310308049,0.002415458937198068,0.015419725202333898,0.14051383399209488,0.18127235083756824
50,IA,178,99,127,0.42046422678445156,0.5795357732155487,0.43707479318434395,0.12129515303672606,0.008168360977349742,0.2308052434456929,0.20265644935588759,0.43718734968734957,0.2424963924963925,0.0,0.010101010101010102,0.3102152477152477,0.48620613599770607,0.016310461192350953,0.01706036745406824,0.34364454443194603,0.13677849092392863
51,AR,140,52,107,0.31454310570381994,0.6854568942961801,0.5963540031397174,0.11545493197278911,0.0007142857142857143,0.17000000000000004,0.11747677917320774,0.4449300699300699,0.2991550116550117,0.0,0.0,0.2559149184149184,0.672783913905409,0.02888700084961767,0.001557632398753894,0.2224299065420561,0.07434154630416312
